Task-Name,BC,10%BC,TD3+BC,AWAC,CQL,IQL,ReBRAC,SAC-N,EDAC,DT,E2ERL(β=0.001),E2ERL(β=0.0025),E2ERL(β=0.005),E2ERL(β=0.0075),E2ERL(β=0.01),E2ERL(β=0.05),E2ERL(β=0.1),E2ERL(β=0.5)
door-cloned-v1,-0.09 ± 0.03,0.29 ± 0.59,-0.34 ± 0.01,0.93 ± 1.66,-0.33 ± 0.01,3.07 ± 1.75,0.06 ± 0.05,-0.33 ± 0.00,2.66 ± 2.31,7.64 ± 3.26,0.01 ± 0.07,0.03 ± 0.06,0.24 ± 0.33,0.11 ± 0.03,0.04 ± 0.05,0.07 ± 0.03,-0.01 ± 0.14,N/A
door-expert-v1,105.35 ± 0.09,104.04 ± 1.46,-0.33 ± 0.01,104.85 ± 0.24,-0.32 ± 0.02,106.65 ± 0.25,106.37 ± 0.29,-0.33 ± 0.00,106.29 ± 1.73,104.87 ± 0.39,105.13 ± 2.20,104.63 ± 2.19,106.20 ± 0.15,103.09 ± 4.07,103.83 ± 2.84,102.33 ± 6.24,106.50 ± 0.09,N/A
hammer-human-v1,3.03 ± 3.39,-0.19 ± 0.02,1.02 ± 0.24,3.37 ± 1.93,0.14 ± 0.11,1.79 ± 0.80,0.24 ± 0.24,0.24 ± 0.00,0.28 ± 0.18,1.28 ± 0.15,0.16 ± 0.16,0.17 ± 0.04,0.12 ± 0.07,0.18 ± 0.26,0.13 ± 0.18,0.14 ± 0.09,1.55 ± 1.91,N/A
hammer-cloned-v1,0.55 ± 0.16,0.12 ± 0.08,0.25 ± 0.01,0.21 ± 0.24,0.30 ± 0.01,1.50 ± 0.69,5.00 ± 3.75,0.14 ± 0.09,0.19 ± 0.07,1.82 ± 0.55,3.81 ± 1.47,5.94 ± 5.60,12.32 ± 15.33,4.94 ± 2.93,8.82 ± 9.90,4.27 ± 5.22,4.42 ± 3.59,N/A
hammer-expert-v1,126.78 ± 0.64,121.75 ± 7.67,3.11 ± 0.03,127.06 ± 0.29,0.26 ± 0.01,128.68 ± 0.33,133.62 ± 0.27,25.13 ± 43.25,28.52 ± 49.00,117.45 ± 6.65,133.58 ± 0.93,134.14 ± 0.08,131.36 ± 4.98,133.86 ± 0.55,133.76 ± 0.63,133.24 ± 0.93,133.92 ± 0.31,N/A
relocate-human-v1,0.04 ± 0.03,-0.14 ± 0.08,-0.29 ± 0.01,0.05 ± 0.03,0.06 ± 0.03,0.12 ± 0.04,0.16 ± 0.30,-0.31 ± 0.01,-0.17 ± 0.17,0.05 ± 0.01,-0.02 ± 0.01,0.00 ± 0.02,0.00 ± 0.01,-0.01 ± 0.01,-0.01 ± 0.01,0.15 ± 0.32,-0.01 ± 0.04,N/A
relocate-cloned-v1,-0.06 ± 0.01,-0.00 ± 0.02,-0.30 ± 0.01,-0.04 ± 0.04,-0.29 ± 0.01,0.04 ± 0.01,1.66 ± 2.59,-0.01 ± 0.10,0.17 ± 0.35,0.16 ± 0.09,0.76 ± 1.63,1.56 ± 1.04,1.37 ± 2.26,0.27 ± 0.49,0.91 ± 1.21,0.54 ± 0.62,0.39 ± 0.52,N/A
relocate-expert-v1,107.58 ± 1.20,97.90 ± 5.21,-1.73 ± 0.96,108.87 ± 0.85,-0.30 ± 0.02,106.11 ± 4.02,107.52 ± 2.28,-0.36 ± 0.00,71.94 ± 18.37,104.28 ± 0.42,105.34 ± 5.23,110.22 ± 0.91,109.68 ± 1.33,108.30 ± 2.63,107.57 ± 2.68,104.79 ± 2.73,106.46 ± 2.15,N/A
[Adroit average],48.18,42.69,10.40,56.75,1.53,53.43,59.39,12.43,18.78,49.21,58.56,57.91,57.74,57.59,59.72,59.08,60.36,N/A
,,,,,,,,,,,,,,,,,,
